mes,dias_al_mes,anio,fecha,Qingresa_m3ps
9,30,1948,9/30/1948,4.60
10,31,1948,10/31/1948,6.10
11,30,1948,11/30/1948,8.30
12,31,1948,12/31/1948,22.90
1,31,1949,1/31/1949,33.00
2,28,1949,2/28/1949,10.90
3,31,1949,3/31/1949,28.80
4,30,1949,4/30/1949,23.20
5,31,1949,5/31/1949,16.30
6,30,1949,6/30/1949,9.60
7,31,1949,7/31/1949,13.80
8,31,1949,8/31/1949,9.10
9,30,1949,9/30/1949,11.20
10,31,1949,10/31/1949,55.50
11,30,1949,11/30/1949,22.60
12,31,1949,12/31/1949,18.20
1,31,1950,1/31/1950,16.60
2,28,1950,2/28/1950,15.20
3,31,1950,3/31/1950,23.20
4,30,1950,4/30/1950,6.20
5,31,1950,5/31/1950,5.00
6,30,1950,6/30/1950,4.90
7,31,1950,7/31/1950,3.20
8,31,1950,8/31/1950,3.00
9,30,1950,9/30/1950,6.10
10,31,1950,10/31/1950,13.60
11,30,1950,11/30/1950,31.60
12,31,1950,12/31/1950,7.30
1,31,1951,1/31/1951,27.60
2,28,1951,2/28/1951,23.20
3,31,1951,3/31/1951,15.50
4,30,1951,4/30/1951,7.40
5,31,1951,5/31/1951,6.10
6,30,1951,6/30/1951,4.80
7,31,1951,7/31/1951,5.30
8,31,1951,8/31/1951,3.70
9,30,1951,9/30/1951,2.60
10,31,1951,10/31/1951,6.70
11,30,1951,11/30/1951,14.10
12,31,1951,12/31/1951,40.30
1,31,1952,1/31/1952,58.80
2,28,1952,2/28/1952,51.20
3,31,1952,3/31/1952,13.90
4,30,1952,4/30/1952,11.80
5,31,1952,5/31/1952,7.10
6,30,1952,6/30/1952,6.30
7,31,1952,7/31/1952,5.90
8,31,1952,8/31/1952,5.40
9,30,1952,9/30/1952,5.80
10,31,1952,10/31/1952,19.90
11,30,1952,11/30/1952,52.20
12,31,1952,12/31/1952,78.60
1,31,1953,1/31/1953,56.20
2,28,1953,2/28/1953,53.80
3,31,1953,3/31/1953,107.90
4,30,1953,4/30/1953,31.50
5,31,1953,5/31/1953,8.80
6,30,1953,6/30/1953,13.90
7,31,1953,7/31/1953,8.30
8,31,1953,8/31/1953,6.60
9,30,1953,9/30/1953,5.50
10,31,1953,10/31/1953,10.30
11,30,1953,11/30/1953,9.10
12,31,1953,12/31/1953,103.80
1,31,1954,1/31/1954,20.50
2,28,1954,2/28/1954,21.80
3,31,1954,3/31/1954,24.60
4,30,1954,4/30/1954,36.60
5,31,1954,5/31/1954,19.20
6,30,1954,6/30/1954,10.60
7,31,1954,7/31/1954,9.80
8,31,1954,8/31/1954,11.10
9,30,1954,9/30/1954,10.00
10,31,1954,10/31/1954,12.20
11,30,1954,11/30/1954,19.00
12,31,1954,12/31/1954,15.90
1,31,1955,1/31/1955,36.00
2,28,1955,2/28/1955,76.10
3,31,1955,3/31/1955,52.40
4,30,1955,4/30/1955,23.80
5,31,1955,5/31/1955,28.10
6,30,1955,6/30/1955,13.30
7,31,1955,7/31/1955,9.70
8,31,1955,8/31/1955,7.40
9,30,1955,9/30/1955,6.10
10,31,1955,10/31/1955,32.10
11,30,1955,11/30/1955,102.70
12,31,1955,12/31/1955,61.10
1,31,1956,1/31/1956,40.60
2,28,1956,2/28/1956,62.00
3,31,1956,3/31/1956,25.60
4,30,1956,4/30/1956,19.40
5,31,1956,5/31/1956,12.00
6,30,1956,6/30/1956,19.00
7,31,1956,7/31/1956,8.80
8,31,1956,8/31/1956,6.00
9,30,1956,9/30/1956,6.60
10,31,1956,10/31/1956,143.00
11,30,1956,11/30/1956,127.30
12,31,1956,12/31/1956,120.80
1,31,1957,1/31/1957,67.10
2,28,1957,2/28/1957,35.60
3,31,1957,3/31/1957,89.00
4,30,1957,4/30/1957,34.70
5,31,1957,5/31/1957,17.60
6,30,1957,6/30/1957,13.70
7,31,1957,7/31/1957,8.70
8,31,1957,8/31/1957,7.00
9,30,1957,9/30/1957,7.30
10,31,1957,10/31/1957,5.20
11,30,1957,11/30/1957,22.00
12,31,1957,12/31/1957,65.70
1,31,1958,1/31/1958,56.10
2,28,1958,2/28/1958,54.70
3,31,1958,3/31/1958,76.80
4,30,1958,4/30/1958,80.50
5,31,1958,5/31/1958,17.70
6,30,1958,6/30/1958,11.90
7,31,1958,7/31/1958,8.40
8,31,1958,8/31/1958,9.80
9,30,1958,9/30/1958,3.90
10,31,1958,10/31/1958,18.10
11,30,1958,11/30/1958,18.40
12,31,1958,12/31/1958,32.90
1,31,1959,1/31/1959,77.90
2,28,1959,2/28/1959,40.10
3,31,1959,3/31/1959,47.70
4,30,1959,4/30/1959,24.20
5,31,1959,5/31/1959,18.70
6,30,1959,6/30/1959,11.90
7,31,1959,7/31/1959,7.40
8,31,1959,8/31/1959,19.70
9,30,1959,9/30/1959,7.90
10,31,1959,10/31/1959,8.80
11,30,1959,11/30/1959,31.80
12,31,1959,12/31/1959,63.60
1,31,1960,1/31/1960,46.30
2,28,1960,2/28/1960,36.40
3,31,1960,3/31/1960,34.00
4,30,1960,4/30/1960,19.50
5,31,1960,5/31/1960,7.80
6,30,1960,6/30/1960,7.20
7,31,1960,7/31/1960,6.90
8,31,1960,8/31/1960,4.30
9,30,1960,9/30/1960,5.80
10,31,1960,10/31/1960,36.60
11,30,1960,11/30/1960,61.40
12,31,1960,12/31/1960,73.80
1,31,1961,1/31/1961,101.40
2,28,1961,2/28/1961,61.80
3,31,1961,3/31/1961,88.00
4,30,1961,4/30/1961,4.60
5,31,1961,5/31/1961,33.70
6,30,1961,6/30/1961,14.50
7,31,1961,7/31/1961,11.40
8,31,1961,8/31/1961,11.60
9,30,1961,9/30/1961,7.00
10,31,1961,10/31/1961,29.90
11,30,1961,11/30/1961,29.30
12,31,1961,12/31/1961,99.10
1,31,1962,1/31/1962,76.20
2,28,1962,2/28/1962,60.20
3,31,1962,3/31/1962,79.20
4,30,1962,4/30/1962,26.10
5,31,1962,5/31/1962,10.70
6,30,1962,6/30/1962,8.00
7,31,1962,7/31/1962,7.50
8,31,1962,8/31/1962,9.20
9,30,1962,9/30/1962,6.10
10,31,1962,10/31/1962,7.90
11,30,1962,11/30/1962,7.30
12,31,1962,12/31/1962,32.00
1,31,1963,1/31/1963,75.80
2,28,1963,2/28/1963,36.00
3,31,1963,3/31/1963,30.00
4,30,1963,4/30/1963,18.60
5,31,1963,5/31/1963,17.00
6,30,1963,6/30/1963,6.39
7,31,1963,7/31/1963,5.80
8,31,1963,8/31/1963,3.90
9,30,1963,9/30/1963,5.40
10,31,1963,10/31/1963,13.50
11,30,1963,11/30/1963,41.10
12,31,1963,12/31/1963,49.20
1,31,1964,1/31/1964,81.20
