,Codigo,dia,mes,anio,Temperatura_[Celsius]_x,HumedadRel_[porc],Presion_[hPa],DireccionViento_[grad],VelocidadViento_[KpH]_x,RadiacionSolar_[WpM2],Lluvia_[mm],RafagaViento_[KpH],SenialGPRS_[ASU],NivelBateria_[V]
2018-10-21 14:00:00,30234,21,10.0,2018.0,27.136666666666667,45.74333333333334,934.375,180.0,6.973806666666667,344.64799999999997,0.0,18.058133333333334,6.0,13.236699999999999
2018-10-21 14:30:00,30234,21,10.0,2018.0,27.316666666666663,45.453333333333326,934.5833333333334,165.0,4.506150000000001,282.277,0.0,14.812633333333332,6.0,13.2438
2018-10-21 15:00:00,30234,21,10.0,2018.0,26.883333333333336,45.73333333333333,934.5833333333334,157.5,6.960393333333333,212.833,0.0,20.197233333333333,6.0,13.2438
2018-10-21 15:30:00,30234,21,10.0,2018.0,27.396666666666665,45.15,933.3333333333334,150.0,5.75339,329.21599999999995,0.0,14.007966666666666,6.0,13.257966666666666
2018-10-21 16:00:00,30234,21,10.0,2018.0,27.746666666666666,43.63333333333333,933.125,157.5,5.170006666666666,280.991,0.0,15.328966666666668,6.0,13.2509
2018-10-21 16:30:00,30234,21,10.0,2018.0,25.376666666666665,50.083333333333336,933.9583333333334,217.5,9.756633333333333,152.391,0.0,33.45416666666667,6.0,13.215466666666666
2018-10-21 17:00:00,30234,21,10.0,2018.0,23.343333333333334,60.330000000000005,934.375,165.0,10.1992,158.821,0.0,24.0462,6.0,13.151633333333331
2018-10-21 17:30:00,30234,21,10.0,2018.0,21.97666666666667,67.47333333333333,935.625,142.5,6.913456666666668,101.594,0.0,17.032166666666665,6.0,13.158733333333332
2018-10-21 18:00:00,30234,21,10.0,2018.0,21.66333333333333,67.83999999999999,936.25,120.0,3.7417166666666666,93.23500000000001,0.0,10.447283333333333,6.0,13.137466666666668
2018-10-21 18:30:00,30234,21,10.0,2018.0,21.52,67.30666666666666,935.625,165.0,6.444066666666667,51.44,0.0,16.4555,6.0,13.009833333333333
2018-10-21 19:00:00,30234,21,10.0,2018.0,21.10666666666667,69.95,935.8333333333334,157.5,2.829753333333333,0.0,0.0,4.86155,6.0,12.938966666666666
2018-10-21 19:30:00,30234,21,10.0,2018.0,20.713333333333335,71.50333333333333,936.0416666666666,142.5,2.346956666666667,0.0,0.0,4.0568800000000005,6.0,12.903500000000001
2018-10-21 20:00:00,30234,21,10.0,2018.0,20.07,69.97,936.25,157.5,6.0484366666666665,0.0,0.0,15.664233333333334,6.0,12.8893
2018-10-21 20:30:00,30234,21,10.0,2018.0,19.55666666666667,69.20333333333333,937.5,165.0,4.0166466666666665,0.0,0.0,10.2998,6.0,12.868
2018-10-21 21:00:00,30234,21,10.0,2018.0,19.31,71.45333333333333,937.7083333333334,157.5,2.84317,0.0,0.0,7.590723333333333,6.0,12.8468
2018-10-21 21:30:00,30234,21,10.0,2018.0,19.110000000000003,72.83999999999999,938.3333333333334,157.5,1.6629846666666666,0.0,0.0,4.385453333333333,6.0,12.8468
2018-10-21 22:00:00,30234,21,10.0,2018.0,18.840000000000003,76.2,939.5833333333334,232.5,1.361234666666667,0.0,0.0,3.4936100000000003,6.0,12.8255
2018-10-21 22:30:00,30234,21,10.0,2018.0,17.906666666666666,84.27333333333333,939.1666666666666,240.0,0.865021,0.0,0.4,1.9781466666666667,6.0,12.818399999999999
2018-10-21 23:00:00,30234,21,10.0,2018.0,17.166666666666668,89.10333333333334,939.5833333333334,240.0,1.0460694333333336,0.0,0.4,4.7877833333333335,6.0,12.8042
2018-10-21 23:30:00,30234,21,10.0,2018.0,16.436666666666667,92.15666666666665,939.375,142.5,2.2866066666666662,0.0,0.6000000000000001,5.760093333333333,6.0,12.790066666666666
2018-10-22 00:00:00,30234,22,10.0,2018.0,15.93,94.68666666666667,939.5833333333334,127.5,3.594193333333333,0.0,0.4,7.208503333333333,6.0,12.7759
2018-10-22 00:30:00,30234,22,10.0,2018.0,15.493333333333334,96.16000000000001,939.1666666666666,112.5,3.755126666666667,0.0,0.4,8.911706666666666,6.0,12.7617
2018-10-22 01:00:00,30234,22,10.0,2018.0,15.156666666666666,96.72333333333334,939.1666666666666,135.0,4.52627,0.0,0.0,9.863923333333334,6.0,12.754599999999998
2018-10-22 01:30:00,30234,22,10.0,2018.0,14.92,97.60000000000001,938.9583333333334,120.0,2.6554100000000003,0.0,0.0,6.17584,6.0,12.7404
2018-10-22 02:00:00,30234,22,10.0,2018.0,14.926666666666668,97.92666666666666,938.5416666666666,112.5,0.724203,0.0,0.2,2.5414133333333333,6.0,12.7404
2018-10-22 02:30:00,30234,22,10.0,2018.0,14.92,97.66333333333334,938.75,75.0,1.012544,0.0,0.0,3.2991466666666667,6.0,12.7192
2018-10-22 03:00:00,30234,22,10.0,2018.0,14.876666666666667,97.52,937.7083333333334,112.5,0.4828036,0.0,0.0,1.3612346666666666,6.0,12.7192
2018-10-22 03:30:00,30234,22,10.0,2018.0,14.910000000000002,97.79666666666667,938.5416666666666,112.5,0.20787333333333335,0.0,3.0,1.3947599999999998,6.0,12.712100000000001
2018-10-22 04:00:00,30234,22,10.0,2018.0,14.83,98.73666666666666,937.7083333333334,120.0,1.62275,0.0,0.2,3.6143066666666663,6.0,12.705
